Block,ENMO
1,91.8106381339
2,63.9068994313057
3,63.703505541033
4,64.2420785691076
5,63.7005947075147
6,63.5834552049635
7,63.577948827634
8,63.5062007418779
9,63.6437654375492
10,64.0337527161329
11,64.8425871616777
12,64.8257145661782
13,65.2616751409717
14,65.2785860136369
15,64.2824786655341
16,65.2904371151688
17,65.5951330451238
18,65.1501366224894
19,65.4115480737867
20,65.2820622849602
21,66.4436309217589
22,66.1293292460911
23,65.3464387749905
24,66.0791785536297
25,65.9282564729427
26,65.5413185110781
27,65.9547941360025
28,65.8296893730828
29,65.9405179905505
30,66.1801551175202
31,65.7037961924079
32,66.0671904440644
33,65.7625292325609
34,65.3638656954527
35,65.7306292698777
36,66.4619927614879
37,65.5985303912427
38,66.0426407619664
39,65.7154870462534
40,65.4420469136174
41,66.2962710898547
42,65.686933146231
43,66.0315883523325
44,66.2229027668658
45,65.9118183121233
46,66.1481219093115
47,65.6574585955696
48,65.9909681480567
49,65.7883469463524
50,66.4954715054883
51,66.3132010091658
52,65.9744043946091
53,65.8341989431577
54,66.3130569776079
55,67.3620461210604
56,65.2847808948515
57,66.1729518972599
58,65.8251556031011
59,65.9256387842461
60,65.9446396668976
61,66.1209809084333
62,66.1969626325018
63,67.0912033083582
64,66.7298477692746
65,65.6698307493151
66,66.4535529244425
67,66.4826705675608
68,66.5775638323133
69,66.7177614298709
70,66.2950019979249
71,65.7837379674163
72,65.2415388254717
73,65.3934787278985
74,66.5045443226667
75,66.1052078377388
76,66.1237439949026
77,66.0587539149894
78,66.8832525051471
79,65.991000776571
80,66.2030992134184
81,65.7688074397669
82,65.9181066344011
83,66.3209607835491
84,65.6328690829206
85,65.9205337099976
86,65.6714272014462
87,65.9991221625823
88,66.5407053149117
89,66.8935637562569
90,66.4967725591765
91,66.2457268287533
92,66.8897319546424
93,66.3327092917953
94,66.4187153867154
95,66.0931887368598
96,66.173989138246
97,66.4509121091335
98,66.4438291073353
99,66.4053648509025
100,66.4500599528054
101,65.9989344329773
102,65.8295565912368
103,66.3527584424813
104,66.819513975247
105,66.2996580688642
106,66.0231455376461
107,65.3310632456098
108,66.2183578060564
109,66.4369922019802
110,66.2512661280616
111,66.3353253376101
112,66.0087715453258
113,66.2324029421939
114,65.3960198742894
115,66.312970606711
116,66.0363435469861
117,66.1649459857841
118,65.3695079394268
119,65.7531864361332
120,66.4500501500072
121,65.7950824368172
122,65.8054537901791
123,66.5667952148198
124,66.2885905371283
125,65.5367367842501
126,67.0720194703407
127,66.9588658355366
128,66.6288016026186
129,65.4661770619214
130,65.6129947463981
131,66.2528600556911
132,66.2414287897491
133,65.8704602493401
134,66.5410696705109
135,66.1306979786133
136,66.0336920758624
137,66.5763307977869
138,66.3595160497479
139,66.5652303261439
140,66.9989856258781
141,65.8533017365429
142,65.5655841953504
143,65.5586081480053
144,65.7961939019074
145,66.4251478908838
146,67.0905348218071
147,66.2499611187116
148,66.1059904802286
149,65.4010507188346
150,66.8356127152222
151,66.3531654464507
152,66.5666968100879
153,65.8661168861897
154,66.1519707373728
155,66.1357453777441
156,66.7127947307961
157,66.2313170387705
158,66.0665881396099
159,65.829687353245
160,66.2512840614355
161,66.9392462222263
162,65.9467881781097
163,65.6271878108043
164,65.7751761793321
165,66.4319889523938
166,65.1052756881256
167,66.3245083297468
168,66.2424717674384
169,65.6137621016526
170,65.8569919235504
171,65.7581659966553
172,66.0640800164543
173,66.8290352696289
174,66.5048286662682
175,66.5548302764336
176,66.7571449945669
177,66.5305539886646
178,65.2703522679801
179,66.1906238962999
180,65.8614009399344
181,65.2237707348021
182,66.0624439652054
183,65.8478998470827
184,65.4032251633424
185,67.2754728783161
186,66.5056696381924
187,65.6437672297571
188,65.7150769476942
189,65.318905228294
190,65.8593426401851
191,65.9367875692524
192,66.4832583715025
193,66.3123079738924
194,65.2832436165369
195,66.0511421534778
196,65.4544157830202
197,65.6393877749707
198,65.8788821967221
199,65.8976893607132
200,65.0920999664436
201,64.9817841826632
202,66.0407102330794
203,65.2682288017445
204,65.7202012320227
205,65.6946735783095
206,65.5443832000373
207,65.5786546950196
208,65.5894697148028
209,65.7140444470969
210,65.4097178981203
211,65.3533417662203
212,65.2006195311003
213,65.5866000876557
214,65.9738903026351
215,65.1501890682141
216,65.6322618672391
217,65.4743627512431
218,64.3831472914059
219,65.4312266937637
220,64.0626216876825
221,65.0356912630969
222,64.6599561297649
223,65.3706237530741
224,65.3550285240812
225,65.2108011713153
226,64.1259961091663
227,65.1194083850641
228,65.8067170327456
229,65.4414746945491
230,66.153965777275
231,65.4234576573202
